rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
261,9976802f-45fc-43e0-976a-8bdd957e5637,Gewoba,Private,16,210446.4487792,Apartment; Office,Bremen; Monkeberg; Schleswig,Apartment; Dev Site; Office,Bremen; Monkeberg; Schleswig,Bremen; Schleswig-Holstein; Lower Saxony,,2026-04-20 00:00:00
262,3e273811-1b91-4f15-9e1a-7472fa48f851,La Caisse,Institutional,15,672196.19845848,Dev Site; Industrial,Berlin; Velten; Bischofsheim,Industrial; Office; Hotel,Frankfurt am Main; Munich; Berlin,Hesse; Bavaria; North Rhine-Westphalia,CDPQ; Ivanhoe Cambridge,2025-07-01 00:00:00
263,570cd959-f63c-4662-826f-24d3b6de55c8,Demire,Public,15,705424.7872152,Office; Retail,Frankfurt am Main; Schwerin; Celle,Office; Retail; Industrial,Bremen; Leipzig; Unterschleissheim,Bavaria; North Rhine-Westphalia; Hesse,Magnat Real Estate Opportunities,2026-02-12 00:00:00
264,010c63f0-e88c-4140-971f-400ab3c435e1,EQT AB,Institutional,15,959678.9173396,Industrial; Dev Site,Wittenburg; Horselberg-Hainich; Borna,Industrial; Office; Dev Site,Cologne; Munich; Frankfurt am Main,North Rhine-Westphalia; Hesse; Lower Saxony,EQT Exeter; EQT Real Estate,2026-04-20 00:00:00
265,051107e8-2a91-4296-b3c0-561b831a061c,Silverton Group,Private,15,139299.0592915744,Office; Industrial,Cologne; Hildesheim; Neuried,Office; Industrial; Hotel,Cologne; Essen; Hildesheim,North Rhine-Westphalia; Bavaria; Lower Saxony,,2025-05-13 00:00:00
266,8f883ef1-620d-4ab7-aeec-fc39b309b6dc,Momeni Group,Institutional,15,216116.6067822,Office; Retail,Cologne; Dusseldorf; Stuttgart,Office; Retail; Dev Site,Dusseldorf; Hamburg; Cologne,North Rhine-Westphalia; Hamburg; Baden-Wurttemberg,,2025-09-01 00:00:00
267,de2e862f-ca1c-4d39-a154-a3ceea443583,Coros Management,Institutional,15,282961.0240478,Office; Dev Site,Berlin; Nuremberg; Furth,Office; Dev Site; Condo,Berlin; Dusseldorf; Nuremberg,Berlin; Bavaria; North Rhine-Westphalia,Bayiko; Commodus Real Estate Capital,2025-04-01 00:00:00
268,682a93b8-0fd3-4eae-b4af-02ace2542fdd,Mark,Institutional,15,350996.435478,Industrial; Retail,Grossbeeren; Berlin; Delmenhorst,Industrial; Retail; Office,Berlin; Frankfurt am Main; Grossbeeren,Berlin; Hesse; Brandenburg,Crossbay; Meyer Bergman UK,2025-10-06 00:00:00
269,e5be7b1b-e3e5-4508-bd01-7ad755c2047b,Bauwens,Private,15,219300.3575992,Dev Site; Office,Berlin; Cologne; Frankfurt am Main,Dev Site; Office; Apartment,Cologne; Berlin; Dusseldorf,North Rhine-Westphalia; Berlin; Hesse,Bauwens Real Estate Group,2026-05-05 00:00:00
270,bb4138ea-7c93-4db6-8b88-d07a406342cf,DLE Group AG,Institutional,15,855648.3758508001,Dev Site; Industrial,Berlin; Magdeburg; Pohlheim,Dev Site; Retail; Industrial,Berlin; Bad Hersfeld; Stahnsdorf,Berlin; Brandenburg; Hesse,,2026-04-13 00:00:00
271,3efb661d-05c6-484f-9fad-352fd8ca1680,ABG Group,Private,15,345768.5630412,Dev Site; Office,Munich; Hamburg; Berlin,Office; Dev Site; Apartment,Hamburg; Berlin; Munich,Hamburg; North Rhine-Westphalia; Bavaria,,2025-07-01 00:00:00
272,79a1a369-c15e-4c7e-b2f8-c5e47b113f1e,Lang & Cie,Private,15,467108.602272,Dev Site; Office,Frankfurt am Main; Niederaula; Bonn,Office; Dev Site; Industrial,Frankfurt am Main; Essen; Niederaula,Hesse; North Rhine-Westphalia; Bavaria,,2026-02-11 00:00:00
273,2fc5c266-bb4a-4cf4-b361-ad21adbb838b,DVI,Institutional,15,536684.2386616,Office; Dev Site,Erfurt; Chemnitz; Berlin,Office; Retail; Apartment,Erfurt; Chemnitz; Berlin,Thuringia; Saxony; Berlin,,2026-02-02 00:00:00
274,8e38a57e-ba0c-41c4-aaf6-e2e7b9d1523e,Otto Wulff,Private,15,389553.75024928,Dev Site; Industrial,Hamburg; Berlin; Leipzig,Apartment; Dev Site; Office,Hamburg; Berlin; Leipzig,Hamburg; Berlin; Saxony,,2026-05-29 00:00:00
275,8268731a-2bcf-4e2f-b536-a8487cef093e,Volkswagen,User/Other,15,1233485.6591832,Dev Site; Office,Berlin; Hanover; Stuttgart,Dev Site; Office; Apartment,Wolfsburg; Berlin; Hanover,Lower Saxony; Baden-Wurttemberg; Bavaria,Audi AG,2025-02-13 00:00:00
276,5639493d-2e74-4b62-96bb-05ecae347adf,SAGA Unternehmensgruppe,User/Other,15,224094.34883552,Apartment; Dev Site,Hamburg,Apartment; Dev Site; Industrial,Hamburg,Hamburg,SAGA GWG Stiftung Nachbarschaft,2026-07-13 00:00:00
277,b764a1cc-2f21-463b-a4aa-0618d1a4550d,Inbright Development GmbH,Private,15,285260.0394852,Industrial; Dev Site,Stuttgart; Hamburg; Mainz,Industrial; Dev Site; Office,"Hamburg; Stuttgart; Hanau, Bruder-Grimm-Stadt",Hamburg; Baden-Wurttemberg; Hesse,Bright Industrial Investment,2026-03-05 00:00:00
278,1de90c03-6773-4bc1-b8c4-a010678fb956,Centrum Group,Private,14,129698.8352712,Retail; Office,Dusseldorf; Berlin; Cologne,Retail; Office; Dev Site,Dusseldorf; Berlin; Munich,North Rhine-Westphalia; Berlin; Bavaria,,2026-01-08 00:00:00
279,2bf398fc-3c1b-4bdb-857a-af821abfbce0,BVT Group,Institutional,14,77297.1139044,Office; Retail,Cologne; Dortmund; Blankenheim,Office; Retail; Industrial,Cologne; Dusseldorf; Dortmund,North Rhine-Westphalia; Hesse; Lower Saxony,,2026-05-13 00:00:00
280,8f6703d0-fc76-4350-af2a-e7a808bdf238,Proximus Real Estate AG,Public,14,82253.9929536,Office; Apartment,Cologne; Radolfzell am Bodensee; Warendorf,Office; Apartment; Hotel,Cologne; Radolfzell am Bodensee; Warendorf,North Rhine-Westphalia; Rhineland-Palatinate; Baden-Wurttemberg,,2025-12-19 00:00:00
